,message,message_id,date,remove
0,"Что вы можете сделать уже сейчас, чтобы сэкономить свое время и способствовать развитию информационного общества:

1. Записываться на прием к врачу через интернет на сайте iris72.ru. Сервис работае 24 часа в сутки, Вы не тратите время на ожидание ответа регистратора, не отнимаете время у человека, который стоит в очереди. Если возникают проблемы, необходимо обратиться в единый центр записи граждан на прием к врачу по номеру 39-33-33. Это многоканальная служба, поэтому оператор ответит моментально, проконсультирует Вам по работе с онлайн сервисом или самостотельно запишет Вас на прием к нужному специалисту.

2. Использовать единый  портал госуслуг. На портале возможно подать заявление на загранпаспорт, проверить наличие штрафов в ГИБДД, подать заявление на участие в программе  ""молодая семья"" и  получить другие госуслуги. Сервис так же работает круглосуточно, избавляет Вас от необходимости подстраиваться под график работы ведомств, стоять в очередях (например, за загранпаспортом). Еще здесь есть информация обо всех госуслугах и ведомствах, которые их предоставляют. 

3. Изучать законодательство. Согласно положению Федерального закона №210-фз «Об организации предоставления государственных и муниципальных услуг»  региональные органы власти и органы местного самоуправления не вправе требовать от заявителя представления документов и информации, которые находятся в распоряжении других ведомств. Если от Вас требуют дополнительные справки, пишите жалобу сюда http://210.gosuslugi.ru/

4. Получить универсальную электронную карту. Ее можно использовать в качестве полиса ОМС, банковской карты, транспортной карты, электронной подписи, для идентификации на портале госуслуг и другое. Она удобна в использовании в отличие от бумажного полиса, многофункциональна и проста в использовании, а так же ее возможности постоянно расширяются. Дополнительную информацию об УЭК в Тюменской области можно получить по бесплатному номеру 8-800-100-12- 90 или на сайтах http://citto.ru/citto/news.htm и http://www.uecard.ru/for-citizens/

5. Использовать другие электронные сервисы Тюменской области: интернет-оплата счетов ЖКХ и другие. На заметку: http://uslugi.tyumen-city.ru/

6. Отправить своих родственников и друзей, которые не знакомы с компьютером на бесплатные компьютерные курсы ""Расширяя горизонты"". Записать можно по номеру 50-00-50 или на сайте http://gorizont.admtyumen.ru/rg/rus/main.htm

7. Не откладывать нужные дела( отправка письма, просмотр необходимой информации, поиск сайта и т. д.) на потом, а использовать бесплатный wi-fi ""TyumenFree"" или коллективные пункты доступа к сети интернет, расположенные в общественных местах, медицинских, культурных заведених города и области. Полный список адресов можно узнать на сайте http://gorizont.admtyumen.ru/rg/rus/main.htm или в группе( будет доступен в документах)

8. Использовать информационно - справочные службы: 8-800-100-12-90 - по проектам УЭК, TyumenFree, электронные госуслуги, 39-33-33 - единый центр записи на прием к врачу, 50-00-50 - горячая линия программы ""Расширяя горизонты"".

Надеемся, эта небольшая подборка облегчит Вам многие моменты жизни, а мы и далее будем продолжать размещать интересные новости и советы по теме.",2,1390300423,n
1,Мы в Facebook,3,1390303560,n
2,"Адреса точек доступа к бесплатному wi-fi ""TyumenFree"" в Тюменской области. Сохраняем себе на мобильный, компьютер и пользуемся.",5,1390464395,n
3,"Контрольная закупка. Не новое, но актуальное видео об универсальной электронной карте",6,1390465561,n
4,"Программа по повышению компьютерной грамотности населения ""Расширяя горизонты"" продолжается в 2014 году. Если кто-то из ваших близких и друзей еще не владеет навыками работы с ПК и Интернетом, отправьте его на бесплатные компьютерные курсы. Записать можно по телефону 50-00-50 или на сайте программы.",7,1390553781,n
5,Мобильные сервисы для мобильных граждан,8,1392023830,n
6,Электронные сервисы на службе у населения,9,1392023972,n
7,Тюмень вошла в топ-10 по реализации проекта УЭК,10,1392023995,n
8,Единый центр записи к врачу - год работы,11,1392024012,n
11,Регистрация юридического лица проще с порталом госуслуг,14,1392371066,n
13,"Тюменцы, по вопросам электронных госуслуг, универсальной электронной карты и бесплатного интернета TyumenFree можно обращаться по бесплатному номеру 8-800-100-12-90",16,1392809326,n
14,Все услуги в одном центре,17,1393321181,n
15,"Центр телефонного обслуживания Тюменской области признан лучшим в своем деле!

18 марта в Москве состоялся суперфинал конкурса «Хрустальная гарнитура», где ЦТО Тюменской области  объявили победителем в номинации «Лучший центр по обслуживанию населения в государственных органах и секторе ЖКХ».
Центр телефонного обслуживания Тюменской области был создан чуть более года назад, 30 января 2013 года, распоряжением правительства Тюменской области. Основным направлением деятельности центра стала консультация граждан по вопросам получения государственных услуг.
 ЦТО был создан на основе call-центра для записи граждан на курсы «Расширяя горизонты». За время реализации программы стало ясно, что люди интересуются и другими вопросами: в частности, работой региональной сети бесплатного интернета «TyumenFree», личным кабинетом сайта gosuslugi.ru, возможностями универсальной электронной карты и пр. Со временем проектов становилось больше и количество вопросов увеличивалось. На данный момент Центр телефонного обслуживания ТО работает по пяти основным направлениям:
1. Единый центр записи граждан на прием к врачу (3452) 39-33-33;
2. Информационно-справочная служба Тюменской области 8-800-100-12-90 (социальное обеспечение населения, госуслуги, универсальная электронная карта, региональная сеть бесплатного интернета «TyumenFree»);
3. Горячая линия программы повышения компьютерной грамотности «Расширяя горизонты» 50-00-50;
4. Служба технической поддержки правительства Тюменской области (3452) 566-060;
5. Техническая поддержка регионального сегмента единой государственной информационной системы в сфере здравоохранения (3452) 50-00-59; 
Центр телефонного обслуживания Тюменской области (ЦТО), который за столь небольшой временной промежуток завоевал популярность среди жителей региона, решил испытать свой профессионализм на именитом конкурсе. 
Награда «Хрустальная Гарнитура», учрежденная Сообществом профессионалов Call Center Guru, имеет яркую историю и вручается лучшим из лучших в индустрии контактных центров с 2005 года. Каждый год в номинировании принимает участие более 200 претендентов, из более чем 100 контактных центров России, Украины, Казахстана, Киргизии, Беларуси и других стран. В 2014 году награда вручалась в 10-й раз. За последние несколько лет «Хрустальная Гарнитура» завоевала позиции самого значимого и престижного профессионального конкурса в индустрии контактных центров. Награда получила международное признание и тем более приятно, что из множества заявок от лучших контактных центров России в сфере обслуживания государственных органов, Центр телефонного обслуживания Тюменской области заслуженно занял первое место.",18,1395377843,n
