,message,message_id,date,remove
0,"Всем привет. Это команда Тинькофф Инвестиций. Брокера с самым большими количеством клиентов и амбициями ー нас уже 4 миллиона. Раньше вы могли встретиться с нами в соцсетях всего Тинькофф. Теперь ー у нас свои соцсети и свои новости.

На данной странице вы найдете:
ー новости финансового рынка;
ー аналитические обзоры;
ー инвестидеи;
ー анонсы интересных мероприятий;
ー образовательный контент в сфере инвестиций;
ー инструкции, как пользоваться приложением;
ー конкурсы и викторины среди инвесторов.

При упоминании нашей страницы в ваших соцсетях мы обязательно отблагодарим уютным эмодзи и решим проблемы с сервисом. 

Инвестиции - это просто, когда есть команда Тинькофф. 
https://tinkoff-invest.onelink.me/2065005593/cbfbd707",2,1614854627,n
1,"О главных новостях на фондовом рынке и о тонкостях торговли мы регулярно рассказываем в нашем подкасте “Жадный инвестор”   🎙

Недавно мы запустили новый юбилейный сезон. Теперь в подкасте четыре ведущих. У всех разный опыт в инвестициях - от начинающего до квалифицированного инвестора. И разный стиль - от агрессивных акций до идеальной диверсификации по активам.

Раз в две недели на вопросы наших слушателей отвечают аналитики.   Так как формат новый, нам бы была полезна обратная связь и предложения. А пока, слушайте наши размышления по поводу IPO Fix Price 💰",3,1615298168,n
2,"Пссс… Мы знаем, как приумножить ваш доход и готовы делиться этой информацией 😉

Приходите к нам на Инвестнеделю, чтобы послушать выступления экспертов Тинькофф Инвестиций и финансовых блогеров. Вы сможете задать свои вопросы спикерам и сразу же получить на них ответы 🤓

Вебинары пройдут с 11 по 19 марта. Участие бесплатное. Подробности программы и регистрация — по ссылке: https://l.tinkoff.ru/investweek_tg",6,1615303802,n
3,"😱 Тинькофф скупает слитки золота?

Управляющая компания Тинькофф Капитал стала участником торгов на рынке драгоценных металлов на Московской бирже 💎

Биржевой фонд «Тинькофф Золото» будет постепенно уходить от инвестиций в iShares Gold Trust и вместо этого покупать физическое золото 🏆 

Рассказываем, в чем преимущество такого решения.",7,1615382065,n
4,"Приглашаем на телефонную конференцию с Оливером Хьюзом и другими топ-менеджерами TCS Group в «Клабхаусе». Повод серьезный — расскажем о наших успехах в 2020 году и планах на 2021 и ответим на ваши вопросы. А вести трансляцию будет… впрочем, пусть имя ведущего станет сюрпризом 😉

Ждем вас 11 марта в 11:00. Чтобы ничего не пропустить, добавьте событие в календарь: https://l.tinkoff.ru/results2020_clubhouse",8,1615395725,n
5,"💥 Мы начинаем Инвестнеделю

Это серия бесплатных вебинаров, на которых финансовые эксперты научат тебя приумножать свой капитал, не выходя из дома.

Сегодня в 19:00 основатель Школы безопасных инвестиций Дмитрий Толстяков расскажет о том, как устроен финансовый рынок, и как сделать на нем первые шаги 👣

Подключайся!",9,1615470877,n
6,"👯‍♀ Чего хотят женщины

За последние два года количество женщин-инвесторов в Тинькофф выросло в два раза, до 31%. Им часто приписывают более консервативное поведение на фондовом рынке и в то же время более высокую доходность, чем у мужчин.

Мы решили проверить это и послушать истории, а заодно и инвестсоветы от четырех женщин на фондовом рынке. Вот несколько спойлеров.

💰 Накопила 5 млн за три года
👶 Научила инвестировать восьмилетнего сына
🧓 Вышла на пенсию и живет на доходы от дивидендов
🍲 Игнорировала советы «варить борщи» и запустила свой проект про инвестиции",11,1615548408,n
7,"📽 События на биржевом рынке бывают поинтереснее любого сериала. Поэтому предлагаем посмотреть наше YouTube-шоу «Деньги не спят» 

Дважды в неделю мы рассказываем о главным новостях на бирже, разбираем портфели, даем прогнозы по акциям и делимся инвестиционными идеями 👀

В последнем выпуске:

— Мировые рынки дождались новых денег — обсуждаем, насколько хватит этого позитива? 🤡

— Наш ведущий Василий Олейник называет даты, когда, по его мнению, может произойти разворот 🙃

— Говорим о тревожных сигналах для рынков со стороны Китая 🚨

— И разбираем несколько интересных акций, которые были в фокусе внимания инвесторов на этой неделе 😑

Скорее смотри",16,1615806011,n
8,"📅 Каждый понедельник мы собираем для вас все самые важные события, которые ожидают биржу на предстоящей недели. Разбиваем их по дням и по сферам рынка. 

Получается дайджест. Вы можете в любой день открыть его и быстро найти нужную информацию 🤓

Вот о чем стоит знать на этой неделе: 
- Что повлияет на курс рубля 
- Почему падают защитные свойства золота 
- Ждать ли притока инвестиций на американском рынке 
- Акции каких компаний могут вырасти или упасть

Читать дайджест",17,1615824196,n
9,"😉 Как насчет того, чтобы провести вечер с пользой?

Например, послушать бесплатный вебинар от специалистов Тинькофф Банка. Сегодня они расскажут, что такое торговый терминал, зачем он инвестору, и как им пользоваться 💵

Встреча пройдет в рамках Инвестнедели. Так мы помогаем новичкам разобраться в фондовом рынке и приумножить свой капитал.
Подключайся к нашему YouTube каналу сегодня в 19:00. В прямом эфире ты сможешь задать свои вопросы и сразу же получить на них ответы 🔥",19,1615906811,n
10,"🎉 Прямой эфир с руководителем Тинькофф Инвестиций 

Сегодня в 19:00 на нашем YouTube-канале бесплатный вебинар в рамках Инвестнедели проведет Дмитрий Панченко. 

Он расскажет о том, как ведут себя современные инвесторы, и как им придется меняться, чтобы выжить на бирже. А также – что будет с брокерами.

Во время трансляции вы сможете задать свои вопросы и сразу же получить на них ответы 🔥",21,1615993210,n
11,"💸 Налоги платить не хочется, а надо! 

Но есть несколько хитростей, как снизить их размер. 
Сегодня в 19:00 мск на нашем бесплатном вебинаре в YouTube мы расскажем вам о налоговых льготах для инвесторов на брокерском счете и ИИС 😉

Встреча проходит в рамках Инвестнедели. Так мы помогаем новичкам разобраться в фондовом рынке и приумножить свой капитал.",25,1616076008,n
12,"🎉 В социальной сети Тинькофф «Пульс» уже больше миллиона пользователей! 

А это, на минуточку, население Воронежа или Красноярска 🌇

За полгода наше сообщество инвесторов в приложении Тинькофф Инвестиции выросло в два раза. Ежедневно именно на страницу ""Пульса"" заходят больше 400 тысяч уникальных юзеров, среди них — и блогеры-инвесторы, и эмитенты (Северсталь и X5 Retail Group). Сюда пришли даже Московская и Санкт-Петербургская биржи 💰

В ""Пульсе"" можно найти новости о фондовом рынке, аналитику и рассказы о личном опыте. Присоединяйтесь и вы!

С каждым новым пользователем мы приближаемся к следующему чекпоинту — стать самым большим сообществом инвесторов в мире 😏

Присоединиться к ""Пульсу"" – https://www.tinkoff.ru/invest/pulse/",27,1616085002,n
13,"​​🔝Топ ошибок инвесторов при работе с биржевыми заявками 

Не сработал стоп? Не по той цене закрылась заявка? На счёте появилась позиция, которую вы не открывали? Прежде, чем в панике писать в службу поддержки и всякими нехорошими словами ругать своего брокера, посмотрите новое видео с нашего YouTube-канала «Деньги не спят».

Василий Олейник подробно рассказал, как работают разные типы биржевых заявок, объяснил, почему всё зависит от ликвидности, и поделился парочкой историй из личного опыта.

Кстати, в этом выпуске мы впервые показываем новую версию приложения Тинькофф Инвестиции. По секрету: там стало ещё больше удобных фич.",33,1616160345,n
14,"📅 Продолжаем публиковать расписание финансовых отчётностей в США. На следующей неделе их будет не много. Зато к ним можно будет лучше подготовиться. 

22 марта — Группа ЛСР, ГК ПИК, Tencent Music
23 марта — Adobe, IHS Markit
24 марта — General Mills, PetroChina, Tencent Holdings
25 марта — Darden Restaurants, Etalon Group 
26 марта — China Petroleum&Chemical

Мы вновь выделили компании, от которых аналитики, опрошенные Bloomberg, ожидают роста или падения. А также добавили время выхода отчетности и рассчитали, насколько волатильны могут быть бумаги в этот день.",36,1616171403,n
15,"🦦 Рубль и рынки ждут большие проблемы 
 
А вас ждёт новый выпуск на нашем YouTube-канале «Деньги не спят». Смотрите, чтобы встретить новую торговую неделю во всеоружии. 
 
— Разбираем, насколько сильно повлияет на российский фондовый рынок и динамику рубля новый пакет санкций со стороны США 
 
— Обсуждаем, как в очередной раз глава ФРС попытался успокоить рынки, и что из этого вышло 
 
— Говорим о том, какие новые сигналы посылают мировые центробанки 
 
— И делимся инвестидеями 
 
Смотрите видео, ставьте под ним 👍, если было полезно, и подписывайтесь на канал, чтобы не пропустить следующие серии. 
 
#деньгинеспят",38,1616336029,n
16,"🎈 ​​Нет ничего лучше добрых традиций 

У нас, например, есть традиция составлять для вас дайджест самых важных событий 📆 На этой неделе:

- Китай мутит серые схемы покупки нефти 
- Центробанк России повышает ключевую ставку 
- Нефть снова дорожает 
- А водители грузовиков в Перу бастуют. И у вас могут быть причины переживать по этому поводу.

Почему – читайте в нашем #дайджесте",39,1616423612,n
17,"💸 У нас вышла новая подборка взлетов и падений прошедшей недели. 

Оба победителя из сферы фармакологии:

👆🏻 Rubius Therapeutics, +54,5%
Компания опубликовала результаты фазы ½ исследований ее препарата для лечения рецидивирующих солидных опухолей.
Инвестбанк H.C. Wainwright подтвердил рейтинг «покупать» и повысил целевую цену для акций Rubius на 43% — до $40.

👇🏻 Translate Bio, -33,9%
Компания объявила промежуточные результаты ½ фазы испытаний ее препарата для лечения муковисцидоза. Согласно результатам, у участников испытаний не было заметных улучшений в работе легких.
Evercore ISI понизил рейтинг по акциям Translate Bio до «market perform» (доходность сопоставима со средней по рынку) и таргет на 16%, до $21 за акцию.

О том, какие еще акции отличились на прошлой неделе, читайте в нашей подборке",40,1616430635,n
18,"😏 Фьючерсы и SPAC теперь доступны в Тинькофф Инвестициях

У нас две новости. Первая – мы открываем для своих клиентов доступ к срочному рынку Московской биржи, а значит – к фьючерсам. Вторая – мы запустили для премиальных клиентов первый на российском рынке инструмент для инвестиций в SPAC.

А это значит, что у вас будет еще больше возможностей приумножить свой капитал. Как – читайте подробнее в нашем материале.

https://vc.ru/tinkoff_invest/223864-fyuchersy-i-spac-teper-dostupny-v-tinkoff-investiciyah",41,1616494623,n
19,"🙄 Центробанк России повысил ключевую ставку. А что мне с этого?

На этот вопрос мы ответим сегодня в 18:00 мск в Клабхаусе. Вместе со специалистами из Сколково мы разберемся, что значат низкие ставки в США и Европе, и как жить с повышенной ставкой в России. А также обсудим, есть ли пузыри на рынках 

Важная база для того, чтобы принимать инвестиционные решения!
https://www.joinclubhouse.com/event/PAdN2NJn",43,1616507130,n
20,"Необязательно быть блогером, чтобы вести социальные сети. Сегодня они есть почти у всех крупных компаний. Тинькофф Инвестиции тоже завели свои аккаунты в «ВКонтакте» и Facebook. Но прежде чем это сделать, мы изучили рынок.

Что другие компании пишут в своих социальных сетях? Зачем читателям на них подписываться? А главное, почему SMM — это уже давно не про продажи, а про поддержку пользователей и про шутки? Эти вопросы мы задали компаниям [club36941068|AliExpress Россия], [club1239834|Aviasales.ru], [club31333866|BURGER KING® Russia] и [club354372|hh.ru]
 
Ответы на эти вопросы читайте в нашем специальном материале",50,1616603365,n
21,"📒 Обо всех правилах игры на фондовом рынке мы рассказываем в нашем Учебнике инвестиций 

 – собираем портфель (не школьный, а инвестиционный)🎒 
– учимся давать в долг и зарабатывать на этом 💸 
– становимся совладельцами бизнеса 😎 

 В конце каждого урока достаем двойные листочки и пишем контрольные 🙄 Мы не шутим: тесты в нашем Учебники нужны, чтобы вы лучше разобрались в инвестициях и заработали кучу денег на фондовом рынке 💰

https://invest-course.onelink.me/cu6x/9cc66150",56,1616760216,n
22,"🎈 Финансовый пузырь может лопнуть. Рассказываем, как защититься от корреляции рынка.

Благодаря сильному росту рынка акций США в течение последних двух лет большая часть инвесторов имеет неплохую доходность в своём портфеле. Но сейчас пришло время подумать, как снизить риски – ведь не за горами финальная стадия взлёта и конец финансового пузыря 💥 

Аналитики Тинькофф Инвестиций подготовили несколько советов по этому поводу. Узнайте, как спасти свои деньги",71,1616850019,n
23,"💫 ​​И снова взлеты и падения

Посмотрим, акции каких компаний отличились на фондовом рынке на прошлой неделе: 

⤴⤴⤴ 

O-I Glass +20% 
Акции производителя стеклотары росли после новости о переходе из индекса компаний средней капитализации S&P MidCap 400 в индекс компаний малой капитализации S&P SmallCap 600. Переход произойдет 30 марта. 

KBR +14,8%
У американской инженерно-строительной и сервисной компании было несколько достижений. Она сообщила об успешной реконструкции аммиачного завода в России (Дорогобуже).
Затем компания провела день инвестора, на котором сообщила о планах увеличить прибыль на акцию в два раза к 2025 году (с уровней 2021-го). Также компания объявила об увеличении размера дивидендов на 10%.

⤵⤵⤵ 

Odonate Therapeutics -83,7%
Компания объявила о прекращении разработки своего перорального химиотерапевтического препарата для лечения рака груди. 

Frequency Therapeutics -74,6%
Компания опубликовала предварительные данные второй фазы исследований препарата для лечения нейросенсорной тугоухости (частичная или полная потеря слуха). Они оказались не очень успешными.",76,1617017354,n
24,"💶 Вселенная евро: обзор акций и фондов в Тинькофф

В России у розничных инвесторов есть доступ к американским акциям на Санкт-Петербургской бирже. Только 52 из более чем 1 500 акций — это акции из Европы. Причем лишь 36 из них номинированы в евро, а остальные 16 торгуются в долларах. 

Несмотря на такую ограниченность в выборе, инвестировать в акции в евро необходимо для более полной и эффективной диверсификации портфеля.

Можно возразить, что для этого получится обойтись валютным вкладом. Но в Европе уже длительное время действуют отрицательные процентные ставки — и в ближайшее время повышать их не собираются. Поэтому инвесторам нужны активы с потенциально более высокой доходностью.

К таким активам и относятся акции в евро, а также фонды на них. Мы подготовили для вас обзор, где систематизировали, какие акции в евро можно найти в нашем приложении. А еще выбрали самые перспективные из них, на наш взгляд.

Обзор большой, поэтому рекомендуем читать его на компьютере или с планшета. Читать обзор - https://strategy2020.tinkoff.ru/euroassets/?utm_source=smm_inv&utm_medium=smm.unp&utm_campaign=invest.vk_invest_euro",80,1617030010,n
25,"​​Где доходность, Лебовски? 👿
 
«Я начал инвестировать, как ты и говорила. Но у меня нулевая доходность по портфелю, а в некоторые дни я вижу, что даже портфель в минусе?» 💸 

Об этом спросил нашего редактора его друг, который начал инвестировать месяц назад. Но в целом такая ситуация может случиться с любым инвестором в первые его три месяца на рынке. Насколько это нормально и что нужно сделать, чтобы привести в чувство свой портфель и заговорить только на рост, расскажем в этой статье.

#образование",82,1617101231,n
26,"Купить Газпром, Сбербанк или Яндекс реально!

По крайней мере маааааленькую их часть. Становись совладельцем компаний, покупая их акции. И наращивай свой капитал.

Благодаря фондовому рынку, клиенты Тинькофф Инвестиций уже заработали 30 млрд рублей. Присоединяйся к ним и ты!

https://tinkoff-invest.onelink.me/2065005593/cbfbd707",84,1617116412,n
